"","idccaa","c_p","direccion","horario","latitud","localidad","longitud_wgs84","margen","municipio","precio_biodiesel","precio_bioetanol","precio_gas_natural_comprimido","precio_gas_natural_licuado","precio_gases_licuados_del_petroleo","precio_gasoleo_a","precio_gasoleo_b","precio_gasoleo_premium","precio_gasolina_95_e10","precio_gasolina_95_e5","precio_gasolina_95_e5_premium","precio_gasolina_98_e10","precio_gasolina_98_e5","precio_hidrogeno","provincia","remision","rotulo","tipo_venta","percent_bio_etanol","percent_ester_metilico","ideess","id_municipio","id_provincia","lowcost","CCAA"
"1","01","18830","CARRETERA A-330 KM. 28,3","L-D: 24H",37.779639,"HUESCAR",-2.542361,"D","Huéscar",NA,NA,NA,NA,NA,1.939,1.589,NA,NA,1.699,NA,NA,NA,NA,"GRANADA","dm","LIBRE","P",0,0,11818,2754,"18",TRUE,"Andalucía"
"2","01","18830","AVENIDA DE GRANADA, 50","L-D: 07:00-22:00",37.809028,"HUESCAR",-2.541972,"I","Huéscar",NA,NA,NA,NA,NA,1.999,NA,2.089,NA,1.769,NA,NA,NA,NA,"GRANADA","dm","BP OIL ESPAÑA","P",0,0,6845,2754,"18",TRUE,"Andalucía"
"3","01","18859","CARRETERA MURCIA KM. 139","L-D: 24H",37.595778,"VERTIENTES (LAS)",-2.400611,"D","Cúllar",NA,NA,NA,NA,NA,1.899,NA,1.999,NA,1.799,NA,NA,NA,NA,"GRANADA","dm","LOS VILLARES","P",0,0,14147,2724,"18",TRUE,"Andalucía"
"4","01","18183","AUTOVIA A-92 KM. 92","L-D: 07:00-23:00",37.235028,"HUETOR-SANTILLAN",-3.495806,"D","Huétor de Santillán",NA,NA,NA,NA,NA,1.959,NA,2.019,NA,1.769,NA,NA,1.879,NA,"GRANADA","OM","96053","P",0,0,10254,2755,"18",TRUE,"Andalucía"
"5","01","18850","AUTOVIA A-92 KM. 377","L-D: 24H",37.595222,"CULLAR",-2.373556,"I","Cúllar",NA,NA,NA,NA,NA,1.959,NA,2.039,NA,1.769,NA,NA,1.909,NA,"GRANADA","OM","SHELL","P",0,0,6496,2724,"18",FALSE,"Andalucía"
"6","01","23700","C/AUREA GALINDO,69 (CARRETERA km 119)","L-D: 06:00-23:00",38.092806,"LINARES",-3.644583,"D","Linares",NA,NA,NA,NA,NA,1.989,NA,NA,NA,1.749,NA,NA,NA,NA,"JAÉN","OM","REPSOL","P",0,0,5655,3549,"23",FALSE,"Andalucía"
"7","01","18195","CALLE PAGO DEL LUNES, 1","L-D: 07:00-23:00",37.148444,"CULLAR VEGA",-3.662972,"D","Cúllar Vega",NA,NA,NA,NA,0.997,1.797,NA,NA,NA,1.637,NA,NA,NA,NA,"GRANADA","dm","ES.LA NARANJA","P",0,0,12993,2725,"18",TRUE,"Andalucía"
"8","01","18360","CARRETERA VENTA NUEVA KM. 0,1","L-D: 06:00-23:00",37.186833,"HUETOR-TAJAR",-4.040806,"D","Huétor Tájar",NA,NA,NA,NA,NA,1.989,NA,2.091,NA,1.809,NA,NA,1.954,NA,"GRANADA","dm","BP HUETOR TAJAR","P",0,0,9259,2756,"18",TRUE,"Andalucía"
"9","01","18830","CARRETERA PUEBLA DON FADRIQUE S/N KM. 1","L-D: 7:00-22:00",37.810611,"HUESCAR",-2.532583,"I","Huéscar",NA,NA,NA,NA,NA,1.939,1.558,1.989,NA,1.749,NA,NA,1.859,NA,"GRANADA","OM","REPSOL","P",0,0,6713,2754,"18",FALSE,"Andalucía"
"10","01","18500","AUTOVÍA A92 km 292.5","L: 06:00-22:00",37.319806,"GUADIX",-3.158611,"D","Guadix",NA,NA,NA,NA,NA,1.869,NA,NA,NA,1.809,NA,NA,NA,NA,"GRANADA","dm","BP ESTACIÓN DE SERVICIO PUERTA GUADIX","P",0,0,10211,2747,"18",TRUE,"Andalucía"
"11","01","23700","AVDA. 1º MAYO S/N","L-D: 06:00-22:00",38.104306,"LINARES",-3.622444,"D","Linares",NA,NA,NA,NA,NA,1.959,NA,NA,NA,1.829,NA,NA,2.009,NA,"JAÉN","dm","GASOLINERA SANTANA","P",0,0,8095,3549,"23",TRUE,"Andalucía"
"12","01","18850","AUTOVIA CULLAR  A-92 KM. 369","L-D: 06:30-22:30",37.593694,"CULLAR",-2.464583,"I","Cúllar",NA,NA,NA,NA,NA,1.959,NA,2.009,NA,1.769,NA,NA,1.879,NA,"GRANADA","OM","REPSOL","P",0,0,6958,2724,"18",FALSE,"Andalucía"
"13","01","18850","AVDA. ANDALUCIA, 3 (A-330 km 3.0)","L-D: 24H",37.584943,"CULLAR",-2.583103,"I","Cúllar",NA,NA,NA,NA,NA,1.999,1.606,NA,NA,NA,NA,NA,NA,NA,"GRANADA","dm","AGRO-OLIVARERA NTRA. SRA. DE LA CABEZA, S. C. A.","P",0,0,10352,2724,"18",TRUE,"Andalucía"
"14","01","18181","ACCESO A-92, 282","L-V: 07:00-21:00; S: 07:00-14:00",37.323028,"DARRO",-3.266583,"I","Darro",NA,NA,NA,NA,NA,1.949,NA,NA,NA,1.739,NA,NA,NA,NA,"GRANADA","dm","CARBURANTES A92","P",0,0,11128,2726,"18",TRUE,"Andalucía"
"15","01","18500","POLIGONO LA MARCOBA M4 P2,","L-D: 24H",37.30325,"GUADIX",-3.146917,"N","Guadix",NA,NA,NA,NA,NA,1.62,NA,NA,NA,1.59,NA,NA,NA,NA,"GRANADA","dm","FENIX OIL","P",0,0,9202,2747,"18",TRUE,"Andalucía"
"16","01","18500","PARQUE EMPRESARIAL PRINCIPE FELIPE, 2/2","L-D: 24H",37.336944,"GUADIX",-3.091722,"D","Guadix",NA,NA,NA,NA,NA,1.999,1.444,NA,NA,NA,NA,NA,NA,NA,"GRANADA","OM","IDS","P",0,0,12544,2747,"18",TRUE,"Andalucía"
"17","01","18195","AVENIDA ANDALUCIA, S/N","L-D: 24H",37.158444,"CULLAR VEGA",-3.673944,"D","Cúllar Vega",NA,NA,NA,NA,NA,1.874,NA,NA,NA,1.684,NA,NA,NA,NA,"GRANADA","dm","MINIOIL","P",0,0,6556,2725,"18",TRUE,"Andalucía"
"18","01","23700","CARRETERA BAÑOS (A-6100) KM. S/N","L-D: 24H",38.104361,"LINARES",-3.647583,"D","Linares",NA,NA,NA,NA,NA,1.999,1.549,2.069,NA,1.769,NA,NA,1.899,NA,"JAÉN","dm","CEPSA","P",0,0,6775,3549,"23",TRUE,"Andalucía"
"19","01","18830","POLIGONO PARCELA 56, 56","L-D: 24H",37.809917,"BARRIO NUEVO",-2.530611,"D","Huéscar",NA,NA,NA,NA,NA,1.9,NA,NA,NA,1.7,NA,NA,NA,NA,"GRANADA","dm","EGEA HUESCAR","P",0,0,13193,2754,"18",TRUE,"Andalucía"
"20","01","18100","CARRETERA ARMILLA KM. 7","L-D: 24H",37.149083,"ARMILLA",-3.618417,"N","Armilla",NA,NA,NA,NA,0.929,1.799,NA,1.849,NA,1.619,NA,NA,1.759,NA,"GRANADA","dm","ASC CARBURANTES","P",0,0,6661,2689,"18",TRUE,"Andalucía"
"21","01","18100","AVENIDA PONIENTE, 45","L-S: 07:00-22:00",37.142806,"ARMILLA",-3.631667,"D","Armilla",NA,NA,NA,NA,NA,1.769,NA,1.829,NA,1.669,NA,NA,NA,NA,"GRANADA","dm","GRANASOL SAN PABLO","P",0,0,6849,2689,"18",TRUE,"Andalucía"
"22","01","18100","CARRETERA GRANADA A ARMILLA KM. 134,25","L-D: 07:00-23:00",37.154111,"ARMILLA",-3.611972,"D","Armilla",NA,NA,NA,NA,NA,1.899,NA,1.969,NA,1.699,NA,NA,1.849,NA,"GRANADA","dm","GALP","P",0,0,7007,2689,"18",TRUE,"Andalucía"
"23","01","18100","CAMINO BAJO, 35","L-D: 24H",37.151833,"ARMILLA",-3.621333,"D","Armilla",NA,NA,NA,NA,NA,1.745,NA,NA,NA,1.599,NA,NA,1.759,NA,"GRANADA","dm","ASC CARBURANTES","P",0,0,12926,2689,"18",TRUE,"Andalucía"
"24","01","18100","AVENIDA FERNANDO DE LOS RIOS, 116","L: 08:30-21:30; M: 09:30-14:30; X-S: 08:30-21:30",37.154306,"ARMILLA",-3.610778,"D","Armilla",NA,NA,NA,NA,NA,1.745,NA,NA,NA,1.599,NA,NA,NA,NA,"GRANADA","dm","Q8","P",0,0,14920,2689,"18",TRUE,"Andalucía"
"25","01","18360","AUTOVIA A-92 KM. 200,3","L-D: 06:00-00:00",37.181111,"HUETOR-TAJAR",-4.054167,"I","Huétor Tájar",NA,NA,NA,NA,NA,1.959,NA,2.019,NA,1.769,NA,NA,1.879,NA,"GRANADA","OM","REPSOL","P",0,0,11496,2756,"18",FALSE,"Andalucía"
"26","01","18740","POLIGONO CASTELL DE FERRO, FASE III, KM, 353,5","L-D: 24H",36.731472,"CASTELL DE FERRO",-3.357694,"D","Gualchos",NA,NA,NA,NA,NA,1.989,NA,NA,NA,1.789,NA,NA,1.899,NA,"GRANADA","dm","EESS GASOLEOS FERRER S.L","P",0,0,8077,2749,"18",TRUE,"Andalucía"
"27","01","18740","CARRETERA MALAGA NACIONAL 340 KM. 352","L-S: 06:30-22:20; D: 08:00-22:20",36.720528,"CASTELL DE FERRO",-3.364639,"D","Gualchos",NA,NA,NA,NA,1.15,1.939,NA,2.029,NA,1.749,NA,NA,1.891,NA,"GRANADA","dm","BP","P",0,0,6606,2749,"18",FALSE,"Andalucía"
"28","01","18740","CALLE RAMBLA HILEROS, S/N","L-S: 07:00-23:00",36.734833,"CASTELL DE FERRO",-3.36225,"D","Gualchos",NA,NA,NA,NA,NA,1.799,NA,1.839,NA,1.595,NA,NA,NA,NA,"GRANADA","dm","EL GRUPO SCA","P",0,0,14446,2749,"18",TRUE,"Andalucía"
"29","01","18160","AUTOVIA A-395 KM. 22,4","L-D: 10:00-20:00",37.134806,"GUEJAR-SIERRA",-3.442083,"I","Güejar Sierra",NA,NA,NA,NA,NA,1.929,NA,1.979,NA,1.749,NA,NA,1.859,NA,"GRANADA","OM","REPSOL","P",0,0,6589,2750,"18",FALSE,"Andalucía"
"30","01","18212","CARRETERA NE 55, (GUEVEJAR-COGOLLOS VEGA) KM. 16","L-D: 00:07-23:00",37.260056,"GUEVEJAR",-3.594167,"N","Güevéjar",NA,NA,NA,NA,NA,1.915,NA,1.935,NA,1.695,NA,NA,1.815,NA,"GRANADA","dm","SAN LAZARO GUEVEJAR","P",0,0,6559,2751,"18",TRUE,"Andalucía"
"31","01","18512","AUTOVIA A-92 KM. 246,235","L-D: 06:00-22:00",37.18925,"HUENEJA",-2.954833,"I","Huéneja",NA,NA,NA,NA,NA,1.959,NA,2.009,NA,1.769,NA,NA,1.879,NA,"GRANADA","OM","REPSOL","P",0,0,6977,2753,"18",FALSE,"Andalucía"
"32","01","18015","AVENIDA ANDALUCIA, S/N","L-D: 24H",37.197639,"GRANADA",-3.641139,"D","Granada",NA,NA,NA,NA,NA,1.869,NA,NA,NA,1.639,NA,NA,NA,NA,"GRANADA","dm","PETROL & GO","P",0,0,13801,2745,"18",TRUE,"Andalucía"
"33","01","18015","CARRETERA ANTIGUA DE MALAGA KM. 138","L-D: 24H",37.190667,"GRANADA",-3.635944,"D","Granada",NA,NA,NA,NA,NA,1.849,NA,NA,NA,1.639,NA,NA,NA,NA,"GRANADA","dm","ASC CARBURANTES","P",0,0,12739,2745,"18",TRUE,"Andalucía"
"34","01","18015","CALLE DE LA CONSTRUCCION, 15","L-D: 07:00-23:00",37.194333,"GRANADA",-3.635667,"N","Granada",NA,NA,NA,NA,NA,1.916,NA,NA,NA,1.627,NA,NA,NA,NA,"GRANADA","dm","ASOCIACION GREMIAL TAXI GRANADA","R",0,0,15383,2745,"18",TRUE,"Andalucía"
"35","01","18015","AVENIDA AVDA DE ANDALUCÍA, S/N","L-D: 24H",37.197556,"GRANADA",-3.641194,"D","Granada",NA,NA,2.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRANADA","dm","NATURGY ES GRANADA-PETROL&GO","P",0,0,14750,2745,"18",TRUE,"Andalucía"
"36","01","18008","CARRETERA SIERRA (DE LA) KM. 313","L-D: 24H",37.162694,"GRANADA",-3.557944,"I","Granada",NA,NA,NA,NA,NA,1.915,NA,1.975,NA,1.689,NA,NA,1.801,NA,"GRANADA","dm","SAN LAZARO","P",0,0,13555,2745,"18",TRUE,"Andalucía"
"37","01","18008","AVENIDA SIERRA NEVADA, 45","L-D: 06:30-22:30",37.166056,"GRANADA",-3.583972,"I","Granada",NA,NA,NA,NA,NA,1.919,NA,1.979,NA,1.709,1.769,NA,NA,NA,"GRANADA","dm","CEPSA","P",0,0,6586,2745,"18",TRUE,"Andalucía"
"38","01","18008","PASEO DEL EMPERADOR CARLOS V, 3","L-D: 07:00-22:00",37.15675,"GRANADA",-3.594389,"D","Granada",NA,NA,NA,NA,NA,1.939,NA,1.989,NA,1.769,NA,NA,1.879,NA,"GRANADA","OM","REPSOL","P",0,0,5728,2745,"18",FALSE,"Andalucía"
"39","01","18012","AVENIDA LAS ALPUJARRAS, S/N","L-D: 24H",37.183528,"GRANADA",-3.624389,"I","Granada",NA,NA,NA,NA,1.009,1.959,NA,2.049,NA,1.779,NA,NA,1.929,NA,"GRANADA","OM","REPSOL","P",0,0,12038,2745,"18",FALSE,"Andalucía"
